|KARI        |550   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |BLAINE                   |WA |US |BL     -19821025AG  |5.0    kW |-         |-       |-       |5351       |N |48 |57 |15.00 |W |122 |44 |36.00 |WAY BROADCASTING LICENSEE, LLC                                                                      |   0.00 km |   0.00 mi |  0.00 deg |48435     |
|KARI        |550   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |BLAINE                   |WA |US |BL     -19821025AG  |2.5    kW |-         |-       |-       |5351       |N |48 |57 |15.00 |W |122 |44 |36.00 |WAY BROADCASTING LICENSEE, LLC                                                                      |   0.00 km |   0.00 mi |  0.00 deg |48435     |
|WSJW        |550   kHz |AM |-   |DAN |Daytime             |B  |B  |LIC    |PAWTUCKET                |RI |US |BL     -20010619AAU |1.0    kW |-         |-       |-       |67578      |N |41 |54 |20.00 |W |71  |23 |56.00 |RELEVANT RADIO, INC.                                                                                |   0.00 km |   0.00 mi |  0.00 deg |571698    |
|WSJW        |550   kHz |AM |-   |DAN |Nighttime           |B  |B  |LIC    |PAWTUCKET                |RI |US |BL     -20010619AAU |0.5    kW |-         |-       |-       |67578      |N |41 |54 |18.00 |W |71  |23 |58.00 |RELEVANT RADIO, INC.                                                                                |   0.00 km |   0.00 mi |  0.00 deg |571698    |
|KFRM        |550   kHz |AM |-   |DA2 |Daytime             |D  |B  |LIC    |SALINA                   |KS |US |BL     -20010705AAX |5.0    kW |-         |-       |-       |25808      |N |39 |26 |4.00  |W |97  |39 |37.00 |TAYLOR COMMUNICATIONS, INC.                                                                         |   0.00 km |   0.00 mi |  0.00 deg |573266    |
|KFRM        |550   kHz |AM |-   |DA2 |Nighttime           |D  |B  |LIC    |SALINA                   |KS |US |BL     -20010705AAX |0.11   kW |-         |-       |-       |25808      |N |39 |26 |4.00  |W |97  |39 |37.00 |TAYLOR COMMUNICATIONS, INC.                                                                         |   0.00 km |   0.00 mi |  0.00 deg |573266    |
|KTRS        |550   kHz |AM |-   |DAN |Daytime             |B  |B  |LIC    |ST. LOUIS                |MO |US |BL     -20040927APC |5.0    kW |-         |-       |-       |20359      |N |38 |39 |45.00 |W |90  |7  |43.00 |KTRS-AM LICENSE, L.L.C.                                                                             |   0.00 km |   0.00 mi |  0.00 deg |1018027   |
|KTRS        |550   kHz |AM |-   |DAN |Nighttime           |B  |B  |LIC    |ST. LOUIS                |MO |US |BL     -20040927APC |5.0    kW |-         |-       |-       |20359      |N |38 |39 |45.00 |W |90  |7  |43.00 |KTRS-AM LICENSE, L.L.C.                                                                             |   0.00 km |   0.00 mi |  0.00 deg |1018027   |
|WDEV        |550   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |WATERBURY                |VT |US |BL     -20050811ACV |5.0    kW |-         |-       |-       |54866      |N |44 |21 |17.00 |W |72  |45 |7.00  |RADIO VERMONT, INC.                                                                                 |   0.00 km |   0.00 mi |  0.00 deg |1080609   |
|WDEV        |550   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |WATERBURY                |VT |US |BL     -20050811ACV |1.0    kW |-         |-       |-       |54866      |N |44 |21 |17.00 |W |72  |45 |7.00  |RADIO VERMONT, INC.                                                                                 |   0.00 km |   0.00 mi |  0.00 deg |1080609   |
|WGR         |550   kHz |AM |-   |DAN |Daytime             |B  |B  |LIC    |BUFFALO                  |NY |US |BML    -20090226ACL |5.0    kW |-         |-       |-       |56101      |N |42 |46 |11.00 |W |78  |50 |37.00 |ENTERCOM LICENSE, LLC                                                                               |   0.00 km |   0.00 mi |  0.00 deg |1298454   |
|WGR         |550   kHz |AM |-   |DAN |Nighttime           |B  |B  |LIC    |BUFFALO                  |NY |US |BML    -20090226ACL |5.0    kW |-         |-       |-       |56101      |N |42 |46 |11.00 |W |78  |50 |37.00 |ENTERCOM LICENSE, LLC                                                                               |   0.00 km |   0.00 mi |  0.00 deg |1298454   |
|WAME        |550   kHz |AM |-   |ND1 |Daytime             |D  |B  |LIC    |STATESVILLE              |NC |US |BL     -20100527AGF |0.5    kW |-         |-       |-       |63146      |N |35 |47 |36.00 |W |80  |51 |15.00 |STATESVILLE FAMILY RADIO CORPORATION                                                                |   0.00 km |   0.00 mi |  0.00 deg |1373159   |
|WAME        |550   kHz |AM |-   |ND1 |Nighttime           |D  |B  |LIC    |STATESVILLE              |NC |US |BL     -20100527AGF |0.053  kW |-         |-       |-       |63146      |N |35 |47 |36.00 |W |80  |51 |15.00 |STATESVILLE FAMILY RADIO CORPORATION                                                                |   0.00 km |   0.00 mi |  0.00 deg |1373159   |
|WPAB        |550   kHz |AM |-   |ND2 |Daytime             |B  |B  |LIC    |PONCE                    |PR |US |BML    -20110222AEG |5.0    kW |-         |-       |-       |53077      |N |17 |59 |27.00 |W |66  |37 |48.00 |WPAB, INC.                                                                                          |   0.00 km |   0.00 mi |  0.00 deg |1418780   |
|WPAB        |550   kHz |AM |-   |ND2 |Nighttime           |B  |B  |LIC    |PONCE                    |PR |US |BML    -20110222AEG |5.0    kW |-         |-       |-       |53077      |N |17 |59 |27.00 |W |66  |37 |48.00 |WPAB, INC.                                                                                          |   0.00 km |   0.00 mi |  0.00 deg |1418780   |
|KUZZ        |550   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |BAKERSFIELD              |CA |US |BL     -20110513AEQ |5.0    kW |-         |-       |-       |7695       |N |35 |20 |25.00 |W |118 |56 |19.00 |BUCK OWENS PRODUCTION COMPANY, INCORPORATED                                                         |   0.00 km |   0.00 mi |  0.00 deg |1427929   |
|KUZZ        |550   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |BAKERSFIELD              |CA |US |BL     -20110513AEQ |5.0    kW |-         |-       |-       |7695       |N |35 |20 |25.00 |W |118 |56 |19.00 |BUCK OWENS PRODUCTION COMPANY, INCORPORATED                                                         |   0.00 km |   0.00 mi |  0.00 deg |1427929   |
|KTZN        |550   kHz |AM |-   |ND2 |Daytime             |B  |B  |LIC    |ANCHORAGE                |AK |US |BL     -20110608ACQ |3.1    kW |-         |-       |-       |12967      |N |61 |9  |58.00 |W |149 |49 |34.00 |CAPSTAR TX, LLC                                                                                     |   0.00 km |   0.00 mi |  0.00 deg |1436176   |
|KTZN        |550   kHz |AM |-   |ND2 |Nighttime           |B  |B  |LIC    |ANCHORAGE                |AK |US |BL     -20110608ACQ |5.0    kW |-         |-       |-       |12967      |N |61 |9  |58.00 |W |149 |49 |34.00 |CAPSTAR TX, LLC                                                                                     |   0.00 km |   0.00 mi |  0.00 deg |1436176   |
|KNUI        |550   kHz |AM |-   |ND2 |Daytime             |B  |B  |LIC    |WAILUKU                  |HI |US |BL     -20120302ACI |5.0    kW |-         |-       |-       |49956      |N |20 |53 |26.00 |W |156 |29 |20.00 |PACIFIC RADIO GROUP, INC.                                                                           |   0.00 km |   0.00 mi |  0.00 deg |1491236   |
|KNUI        |550   kHz |AM |-   |ND2 |Nighttime           |B  |B  |LIC    |WAILUKU                  |HI |US |BL     -20120302ACI |5.0    kW |-         |-       |-       |49956      |N |20 |53 |26.00 |W |156 |29 |20.00 |PACIFIC RADIO GROUP, INC.                                                                           |   0.00 km |   0.00 mi |  0.00 deg |1491236   |
|WSAU        |550   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |WAUSAU                   |WI |US |BL     -20120605ACB |15.0   kW |-         |-       |-       |41902      |N |44 |51 |26.00 |W |89  |35 |13.00 |WRIG, INC.                                                                                          |   0.00 km |   0.00 mi |  0.00 deg |1503564   |
|WSAU        |550   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |WAUSAU                   |WI |US |BL     -20120605ACB |20.0   kW |-         |-       |-       |41902      |N |44 |51 |26.00 |W |89  |35 |13.00 |WRIG, INC.                                                                                          |   0.00 km |   0.00 mi |  0.00 deg |1503564   |
|KTSA        |550   kHz |AM |-   |-   |Nighttime           |B  |B  |LIC    |SAN ANTONIO              |TX |US |BMML   -20130208ABX |5.0    kW |-         |-       |-       |71087      |N |29 |29 |46.00 |W |98  |24 |54.00 |ALPHA MEDIA LICENSEE LLC                                                                            |   0.00 km |   0.00 mi |  0.00 deg |1542075   |
|KTSA        |550   kHz |AM |-   |DAN |Daytime             |B  |B  |LIC    |SAN ANTONIO              |TX |US |BMML   -20130208ABX |5.0    kW |-         |-       |-       |71087      |N |29 |29 |41.00 |W |98  |24 |52.00 |ALPHA MEDIA LICENSEE LLC                                                                            |   0.00 km |   0.00 mi |  0.00 deg |1542075   |
